first_author,year,full_entry
Finsterer,2022,"Finsterer, J. and Hayman, J. (2022). Mitochondrial encephalopathy, lactic acidosis and stroke-like episodes/Leigh overlap syndrome due to variant m. 13513G> A in MT-ND5. Cureus, 14(5)."
Fleming,2012,"Fleming, J.M., Ginsburg, E., Oliver, S.D., Goldsmith, P. and Vonderhaar, B.K. (2012). Hornerin, an S100 family protein, is functional in breast cells and aberrantly expressed in breast cancer. BMC cancer, 12, pp.1-12."
Foley,2015,"Foley, S.B., Rios, J.J., Mgbemena, V.E., Robinson, L.S., Hampel, H.L., Toland, A.E., Durham, L. and Ross, T.S. (2015). Use of whole genome sequencing for diagnosis and discovery in the cancer genetics clinic. EBioMedicine, 2(1), pp.74-81."
Formicola,2014,"Formicola, N., Sposato, G. and Paladino, S. (2014). The role of glycoprotein M6A in cancer progression. Cell Communication and Signaling, 12(1), pp.1-11."
Foulkes,2013,"Foulkes, W.D. and Shuen, A.Y. (2013). In brief: BRCA1 and BRCA2. The Journal of pathology, 230(4), pp.347-349."
Fraga-Corral,2022,"Fraga-Corral, M., Carpena, M., Garcia-Oliveira, P., Pereira, A.G., Prieto, M.A. and Simal-Gandara, J. (2022). Analytical metabolomics and applications in health, environmental and food science. Critical Reviews in Analytical Chemistry, 52(4), pp.712-734."
Friedenreich,2021,"Friedenreich, C.M., Ryder‐Burbidge, C. and McNeil, J. (2021). Physical activity, obesity and sedentary behavior in cancer etiology: epidemiologic evidence and biologic mechanisms. Molecular Oncology, 15(3), pp.790-800."
Fumet,2020,"Fumet, J.D., Truntzer, C., Yarchoan, M. and Ghiringhelli, F. (2020). Tumour mutational burden as a biomarker for immunotherapy: Current data and emerging concepts. European Journal of Cancer, 131, pp.40-50."
Fussell,2011,"Fussell, K.C., Udasin, R.G., Smith, P.J., Gallo, M.A. and Laskin, J.D. (2011). Catechol metabolites of endogenous estrogens induce redox cycling and generate reactive oxygen species in breast epithelial cells. Carcinogenesis, 32(8), pp.1285-1293."
Gaillard,2015,"Gaillard, H., García-Muse, T. and Aguilera, A. (2015). Replication stress and cancer. Nature Reviews Cancer, 15(5), pp.276-289."
Ganeshpurkar,2017,"Ganeshpurkar, A. and Saluja, A.K. (2017). The pharmacological potential of rutin. Saudi pharmaceutical journal, 25(2), pp.149-164."
Garcia-Martinez,2021,"Garcia-Martinez, L., Zhang, Y., Nakata, Y., Chan, H.L. and Morey, L. (2021). Epigenetic mechanisms in breast cancer therapy and resistance. Nature communications, 12(1), p.1786."
Gatti,2005,"Gatti, L. and Zunino, F. (2005). Overview of tumor cell chemoresistance mechanisms. Chemosensitivity: Volume II: In VIVO Models, Imaging, and Molecular Regulators, pp.127-148."
Ghosh,2019,"Ghosh, S. (2019). Cisplatin: The first metal based anticancer drug. Bioorganic chemistry, 88, p.102925."
Glover,2017,"Glover, T.W., Wilson, T.E. and Arlt, M.F. (2017). Fragile sites in cancer: more than meets the eye. Nature Reviews Cancer, 17(8), pp.489-501."
Golan,2014,"Golan, T., Kanji, Z.S., Epelbaum, R., Devaud, N., Dagan, E., Holter, S., Aderka, D., Paluch-Shimon, S., Kaufman, B., Gershoni-Baruch, R. and Hedley, D. (2014). Overall survival and clinical characteristics of pancreatic cancer in BRCA mutation carriers. British journal of cancer, 111(6), pp.1132-1138."
Gonzalez-Salinas,2020,"Gonzalez-Salinas, F., Rojo, R., Martinez-Amador, C., Herrera-Gamboa, J. and Trevino, V. (2020). Transcriptomic and cellular analyses of CRISPR/Cas9-mediated edition of FASN show inhibition of aggressive characteristics in breast cancer cells. Biochemical and Biophysical Research Communications, 529(2), pp.321-327."
Goswami,2025,"Goswami, K., Venkatachalam, K., Singh, S.P., Rao, C.V. and Madka, V. (2025). Chromatin Remodulator CHD4: A Potential Target for Cancer Interception. Genes, 16(2), p.225."
Gosztyla,2024,"Gosztyla, M.L., Zhan, L., Olson, S., Wei, X., Naritomi, J., Nguyen, G., Street, L., Goda, G.A., Cavazos, F.F., Schmok, J.C. and Jain, M. (2024). Integrated multi-omics analysis of zinc-finger proteins uncovers roles in RNA regulation. Molecular cell, 84(19), pp.3826-3842."
Greaves,2012,"Greaves, M. and Maley, C.C. (2012). Clonal evolution in cancer. Nature, 481(7381), pp.306-313."
Gu,2020,"Gu, R., Xie, C., Hu, X. and Sun, M. (2020). CLCN3 in cancer: Emerging roles and therapeutic potential. Frontiers in Oncology, 10, p.575793."
Gu,2020,"Gu, Z., Wang, L., Yao, X., Long, Q., Lee, K., Li, J., Yue, D., Yang, S., Liu, Y., Li, N. and Li, Y. (2020) . ClC-3/SGK1 regulatory axis enhances the olaparib-induced antitumor effect in human stomach adenocarcinoma. Cell death & disease, 11(10), p.898."
Gum,2003,"Gum, J.R., Hicks, J.W., Crawley, S.C., Dahl, C.M., Yang, S.C., Roberton, A.M. and Kim, Y.S. (2003). Initiation of transcription of the MUC3A human intestinal mucin from a TATA-less promoter and comparison with the MUC3B amino terminus. Journal of Biological Chemistry, 278(49), pp.49600-49609."
Gundry,2010,"Gundry, R.L., White, M.Y., Murray, C.I., Kane, L.A., Fu, Q., Stanley, B.A. and Van Eyk, J.E. (2010). Preparation of proteins and peptides for mass spectrometry analysis in a bottom‐up proteomics workflow. Current protocols in molecular biology, 90(1), pp.10-25."
Guo,2019,"Guo, Y., Shang, X. and Li, Z. (2019). Identification of cancer subtypes by integrating multiple types of transcriptomics data with deep learning in breast cancer. Neurocomputing, 324, pp.20-30."
Gupta,2019,"Gupta, P.B., Pastushenko, I., Skibinski, A., Blanpain, C. and Kuperwasser, C. (2019). Phenotypic plasticity: driver of cancer initiation, progression, and therapy resistance. Cell stem cell, 24(1), pp.65-78."
Hafezi,2021,"Hafezi, S. and Rahmani, M., (2021). Targeting BCL-2 in cancer: advances, challenges, and perspectives. Cancers, 13(6), p.1292."
Hage,2021,"Hage, R. and Vignal-Clermont, C. (2021). Leber hereditary optic neuropathy: review of treatment and management. Frontiers in Neurology, 12, p.651639."
Hajba,2023,"Hajba, L., Jeong, S., Chung, D.S. and Guttman, A. (2023). Capillary Gel Electrophoresis of Proteins: Historical overview and recent advances. TrAC Trends in Analytical Chemistry, p.117024."
Hanahan,2022,"Hanahan, D. (2022). Hallmarks of cancer: new dimensions. Cancer discovery, 12(1), pp.31-46."
Hanahan,2011,"Hanahan, D. and Weinberg, R.A. (2011). Hallmarks of cancer: the next generation. cell, 144(5), pp.646-674."
Hannafon,2019,"Hannafon, B.N., Cai, A., Calloway, C.L., Xu, Y.F., Zhang, R., Fung, K.M. and Ding, W.Q. (2019). miR-23b and miR-27b are oncogenic microRNAs in breast cancer: evidence from a CRISPR/Cas9 deletion study. BMC cancer, 19(1), pp.1-12."
Hantaweepant,2023,"Hantaweepant, C., Suktitipat, B., Pithukpakorn, M., Chinthammitr, Y., Limwongse, C., Tansiri, N., Sawatnatee, S., Takpradit, C., Rotchanapanya, W., Pongudom, S. and Charoenprasert, K. (2023). Whole exome sequencing and rare variant association study to identify genetic modifiers, KLF1 mutations, and a novel double mutation in Thai patients with hemoglobin E/beta-thalassemia. Hematology, 28(1), p.2187155."
Haronikova,2021,"Haronikova, L., Bonczek, O., Zatloukalova, P., Kokas-Zavadil, F., Kucerikova, M., Coates, P.J., Fahraeus, R. and Vojtesek, B. (2021). Resistance mechanisms to inhibitors of p53-MDM2 interactions in cancer therapy: can we overcome them?. Cellular & molecular biology letters, 26, pp.1-33."
Hason,2019,"Hason, M. and Bartůněk, P. (2019). Zebrafish models of cancer—new insights on modeling human cancer in a non-mammalian vertebrate. Genes, 10(11), p.935."
Hassan,2020,"Hassan, M.A., Al-Sakkaf, K., Shait Mohammed, M.R., Dallol, A., Al-Maghrabi, J., Aldahlawi, A., Ashoor, S., Maamra, M., Ragoussis, J., Wu, W. and Khan, M.I. (2020). Integration of transcriptome and metabolome provides unique insights to pathways associated with obese breast cancer patients. Frontiers in oncology, 10, p.804."
Heather,2016,"Heather, J.M. and Chain, B. (2016). The sequence of sequencers: The history of sequencing DNA. Genomics, 107(1), pp.1-8."
Hebert,2020,"Hebert, J.D., Myers, S.A., Naba, A., Abbruzzese, G., Lamar, J.M., Carr, S.A. and Hynes, R.O. (2020). Proteomic Profiling of the ECM of Xenograft Breast Cancer Metastases in Different Organs Reveals Distinct Metastatic NichesECM Proteomics of Breast Cancer Metastases in Diverse Organs. Cancer research, 80(7), pp.1475-1485."
Heijink,2022,"Heijink, A.M., Stok, C., Porubsky, D., Manolika, E.M., de Kanter, J.K., Kok, Y.P., Everts, M., de Boer, H.R., Audrey, A., Bakker, F.J. and Wierenga, E. (2022). Sister chromatid exchanges induced by perturbed replication can form independently of BRCA1, BRCA2 and RAD51. Nature Communications, 13(1), p.6722."
Heizmann,2010,"Heizmann, C.W. and Fritz, G. (2010). The family of S100 cell signaling proteins. Handbook of cell signaling, pp.983-993."
Helleboid,2019,"Helleboid, P.Y., Heusel, M., Duc, J., Piot, C., Thorball, C.W., Coluccio, A., Pontis, J., Imbeault, M., Turelli, P., Aebersold, R. and Trono, D. (2019). The interactome of KRAB zinc finger proteins reveals the evolutionary history of their functional diversification. The EMBO journal, 38(18), p.e101220."
Helmrich,2006,"Helmrich, A., Stout-Weider, K., Hermann, K., Schrock, E. and Heiden, T. (2006). Common fragile sites are conserved features of human and mouse chromosomes and relate to large active genes. Genome research, 16(10), pp.1222-1230."
Henry,2011,"Henry, J., Hsu, C.Y., Haftek, M., Nachat, R., de Koning, H.D., Gardinal-Galera, I., Hitomi, K., Balica, S., Jean-Decoster, C., Schmitt, A.M. and Paul, C. (2011). Hornerin is a component of the epidermal cornified cell envelopes. The FASEB Journal, 25(5), pp.1567-1576."
Hills,2014,"Hills, S.A. and Diffley, J.F. (2014). DNA replication and oncogene-induced replicative stress. Current biology, 24(10), pp.R435-R444."
Hirose,2019,"Hirose, M., Schilf, P., Zarse, K., Busch, H., Fuellen, G., Jöhren, O., Köhling, R., König, I.R., Richer, B., Rupp, J. and Schwaninger, M. (2019). Maternally inherited differences within mitochondrial complex I control murine healthspan. Genes, 10(7), p.532."
Holthaus,2024,"Holthaus, K.B. and Eckhart, L. (2024). Development-associated genes of the epidermal differentiation complex (EDC). Journal of Developmental Biology, 12(1), p.4."
Hong,2015,"Hong, S., Bi, M., Wang, L.E.I., Kang, Z., Ling, L. and Zhao, C. (2015). CLC-3 channels in cancer. Oncology reports, 33(2), pp.507-514."
Howard,2015,"Howard, H.C., Knoppers, B.M., Cornel, M.C., Wright Clayton, E., Sénécal, K. and Borry, P. (2015). Whole-genome sequencing in newborn screening? A statement on the continued importance of targeted approaches in newborn screening programmes. European journal of human genetics, 23(12), pp.1593-1600."
Hrdlickova,2017,"Hrdlickova, R., Toloue, M. and Tian, B. (2017). RNA‐Seq methods for transcriptome analysis. Wiley Interdisciplinary Reviews: RNA, 8(1), p.e1364."
Hu,2020,"Hu, L., Liu, J., Zhang, W., Wang, T., Zhang, N., Lee, Y.H. and Lu, H. (2020). Functional metabolomics decipher biochemical functions and associated mechanisms underlie small‐molecule metabolism. Mass Spectrometry Reviews, 39(5-6), pp.417-433."
Hu,2007,"Hu, Y., Raynard, S., Sehorn, M.G., Lu, X., Bussen, W., Zheng, L., Stark, J.M., Barnes, E.L., Chi, P., Janscak, P. and Jasin, M. (2007). RECQL5/Recql5 helicase regulates homologous recombination and suppresses tumor formation via disruption of Rad51 presynaptic filaments. Genes & development, 21(23), pp.3073-3084."
Huang,2021,"Huang, J., Lok, V., Ngai, C.H., Zhang, L., Yuan, J., Lao, X.Q., Ng, K., Chong, C., Zheng, Z.J. and Wong, M.C. (2021). Worldwide burden of, risk factors for, and trends in pancreatic cancer. Gastroenterology, 160(3), pp.744-754."
Huang,2019,"Huang, M., Chen, Y., Han, D., Lei, Z. and Chu, X. (2019). Role of the zinc finger and SCAN domain-containing transcription factors in cancer. American journal of cancer research, 9(5), p.816."
Huang,2020,"Huang, Z., Yu, P. and Tang, J. (2020). Characterization of triple-negative breast cancer MDA-MB-231 cell spheroid model. OncoTargets and therapy, 13, p.5395."
Huntley,2006,"Huntley, S., Baggott, D.M., Hamilton, A.T., Tran-Gyamfi, M., Yang, S., Kim, J., Gordon, L., Branscomb, E. and Stubbs, L. (2006). A comprehensive catalog of human KRAB-associated zinc finger genes: insights into the evolutionary history of a large family of transcriptional repressors. Genome research, 16(5), pp.669-677."
Iacopetta,2023,"Iacopetta, D., Ceramella, J., Baldino, N., Sinicropi, M.S. and Catalano, A., (2023). Targeting breast cancer: An overlook on current strategies. International Journal of Molecular Sciences, 24(4), p.3643."
Icard,2019,"Icard, P., Fournel, L., Wu, Z., Alifano, M. and Lincet, H. (2019). Interconnection between metabolism and cell cycle in cancer. Trends in biochemical sciences, 44(6), pp.490-501."
Ilari,2008,"Ilari, A. and Savino, C. (2008). Protein structure determination by x-ray crystallography. Bioinformatics: Data, Sequence Analysis and Evolution, pp.63-87."
Imani,2021,"Imani, A., Maleki, N., Bohlouli, S., Kouhsoltani, M., Sharifi, S. and Maleki Dizaj, S. (2021). Molecular mechanisms of anticancer effect of rutin. Phytotherapy Research, 35(5), pp.2500-2513"
Ipoutcha,2019,"Ipoutcha, T., Tsarmpopoulos, I., Talenton, V., Gaspin, C., Moisan, A., Walker, C.A., Brownlie, J., Blanchard, A., Thebault, P. and Sirand-Pugnet, P. (2019). Multiple origins and specific evolution of CRISPR/Cas9 systems in minimal bacteria (Mollicutes). Frontiers in Microbiology, 10, p.2701."
Ishino,2018,"Ishino, Y., Krupovic, M. and Forterre, P. (2018) History of CRISPR-Cas from encounter with a mysterious repeated sequence to genome editing technology. Journal of bacteriology, 200(7), pp.10-1128."
Iuchi,2001,"Iuchi, S., (2001). Three classes of C2H2 zinc finger proteins. Cellular and Molecular Life Sciences CMLS, 58, pp.625-635."
Iyengar,2011,"Iyengar, S., Ivanov, A.V., Jin, V.X., Rauscher III, F.J. and Farnham, P.J. (2011). Functional analysis of KAP1 genomic recruitment. Molecular and cellular biology, 31(9), pp.1833-1847."
Iñiguez-Muñoz,2024,"Iñiguez-Muñoz, S., Llinàs-Arias, P., Ensenyat-Mendez, M., Bedoya-López, A.F., Orozco, J.I., Cortés, J., Roy, A., Forsberg-Nilsson, K., DiNome, M.L. and Marzese, D.M. (2024). Hidden secrets of the cancer genome: unlocking the impact of non-coding mutations in gene regulatory elements. Cellular and Molecular Life Sciences, 81(1), p.274."
Jang,2024,"Jang, M.A. (2024). Genomic technologies for detecting structural variations in hematologic malignancies. Blood research, 59(1), p.1."
Jansen,2002,"Jansen, R., Embden, J.D.V., Gaastra, W. and Schouls, L.M. (2002) Identification of genes that are associated with DNA repeats in prokaryotes. Molecular microbiology, 43(6), pp.1565-1575."
Jhanker,2012,"Jhanker, Y.M., Kadir, M.F. and Hasan, R.I.K.R. (2012). Proteomics in drug discovery. Journal of Applied Pharmaceutical Science, 2(8), pp.01-12."
Ji,2022,"Ji, F., Zhu, X., Liao, H., Ouyang, L., Huang, Y., Syeda, M.Z. and Ying, S. (2022). New era of mapping and understanding common fragile sites: an updated review on origin of chromosome fragility. Frontiers in Genetics, 13, p.906957."
Jiang,2009,"Jiang, Y., Lucas, I., Young, D.J., Davis, E.M., Karrison, T., Rest, J.S. and Le Beau, M.M. (2009). Common fragile sites are characterized by histone hypoacetylation. Human molecular genetics, 18(23), pp.4501-4512."
Jobling,2019,"Jobling, T.W., Plebanski, M. and Stephens, A.N. (2019) Keratin-14 (KRT14) Positive Leader Cells Mediate Mesothelial Clearance and Invasion by Ovarian Cancer Cells."
Jones,2012,"Jones, R.M. and Petermann, E. (2012). Replication fork dynamics and the DNA damage response. Biochemical Journal, 443(1), pp.13-26."
Jung,2021,"Jung, H., Lee, K.S. and Choi, J.K. (2021). Comprehensive characterisation of intronic mis-splicing mutations in human cancers. Oncogene, 40(7), pp.1347-1361."
Kamiloglu,2020,"Kamiloglu, S., Sari, G., Ozdal, T. and Capanoglu, E. (2020). Guidelines for cell viability assays. Food Frontiers, 1(3), pp.332-349."
Kandoth,2013,"Kandoth, C., McLellan, M.D., Vandin, F., Ye, K., Niu, B., Lu, C., Xie, M., Zhang, Q., McMichael, J.F., Wyczalkowski, M.A. and Leiserson, M.D. (2013). Mutational landscape and significance across 12 major cancer types. Nature, 502(7471), pp.333-339."
Kang,1997,"Kang, K.S., Morita, I., Cruz, A., Jeon, Y.J., Trosko, J.E. and Chang, C.C. (1997). Expression of estrogen receptors in a normal human breast epithelial cell type with luminal and stem cell characteristics and its neoplastically transformed cell lines. Carcinogenesis, 18(2), pp.251-257."
Karn,2022,"Karn, V., Sandhya, S., Hsu, W., Parashar, D., Singh, H.N., Jha, N.K., Gupta, S., Dubey, N.K. and Kumar, S. (2022). CRISPR/Cas9 system in breast cancer therapy: advancement, limitations and future scope. Cancer Cell International, 22(1), pp.1-14."
Kashyap,2022,"Kashyap, D., Pal, D., Sharma, R., Garg, V.K., Goel, N., Koundal, D., Zaguia, A., Koundal, S. and Belay, A. (2022). Global increase in breast cancer incidence: risk factors and preventive measures. BioMed research international, 2022."
Kavarthapu,2021,"Kavarthapu, R., Anbazhagan, R. and Dufau, M.L. (2021). Crosstalk between PRLR and EGFR/HER2 signaling pathways in breast cancer. Cancers, 13(18), p.4685."
Kechagioglou,2014,"Kechagioglou, P., Papi, R.M., Provatopoulou, X., Kalogera, E., Papadimitriou, E., Grigoropoulos, P., Nonni, A., Zografos, G., Kyriakidis, D.A. and Gounaris, A. (2014). Tumor suppressor PTEN in breast cancer: heterozygosity, mutations and protein expression. Anticancer research, 34(3), pp.1387-1400."
Kessenbrock,2010,"Kessenbrock, K., Plaks, V. and Werb, Z. (2010). Matrix metalloproteinases: Regulators of the tumor microenvironment. Cell, 141(1), pp.52-67."
Khalef,2024,"Khalef, L., Lydia, R., Filicia, K. and Moussa, B. (2024). Cell viability and cytotoxicity assays: Biochemical elements and cellular compartments. Cell Biochemistry and Function, 42(3), p.e4007"
Khan,2024,"Khan, B., Qahwaji, R., Alfaifi, M.S., Athar, T., Khan, A., Mobashir, M., Ashankyty, I., Imtiyaz, K., Alahmadi, A. and Rizvi, M.M.A. (2024). Deciphering molecular landscape of breast cancer progression and insights from functional genomics and therapeutic explorations followed by in vitro validation. Scientific Reports, 14(1), p.28794."
Kiełbowski,2024,"Kiełbowski, K., Stańska, W., Bakinowska, E., Rusiński, M. and Pawlik, A. (2024). The role of alarmins in the pathogenesis of rheumatoid arthritis, osteoarthritis, and psoriasis. Current Issues in Molecular Biology, 46(4), pp.3640-3675."
Kim,2022,"Kim, H.J., Lee, P.C.W. and Hong, J.H. (2022). Chloride channels and transporters: roles beyond classical cellular homeostatic pH or ion balance in cancers. Cancers, 14(4), p.856."
Kim,2023,"Kim, H.N., Kim, H., Gim, J.A., Baek, Y.S., Kim, A. and Kim, C. (2023). Factors for risk stratification of patients with actinic keratosis using integrated analysis of clinicopathological features and gene expression patterns. Australasian Journal of Dermatology, 64(1), pp.80-91."
Kim,2022,"Kim, J., Parthasarathi, M., & Song, Y. (2022). CLCN3 and drug resistance in breast cancer: A mechanistic insight. Molecular Oncology, 16(5), 782-799."
Kim,2024,"Kim, R., Kim, S., Oh, B.B.L., Yu, W.S., Kim, C.W., Hur, H., Son, S.Y., Yang, M.J., Cho, D.S., Ha, T. and Heo, S. (2024). Clinical application of whole-genome sequencing of solid tumors for precision oncology. Experimental & Molecular Medicine, 56(8), pp.1856-1868."
Kleensang,2016,"Kleensang, A., Vantangoli, M.M., Odwin-DaCosta, S., Andersen, M.E., Boekelheide, K., Bouhifd, M., Fornace Jr, A.J., Li, H.H., Livi, C.B., Madnick, S. and Maertens, A. (2016). Genetic variability in a frozen batch of MCF-7 cells invisible in routine authentication affecting cell function. Scientific reports, 6(1), p.28994."
Kleibl,2016,"Kleibl, Z. and Kristensen, V.N. (2016). Women at high risk of breast cancer: Molecular characteristics, clinical presentation and management. The Breast, 28, pp.136-144."
Kockler,2021,"Kockler, Z.W., Osia, B., Lee, R., Musmaker, K. and Malkova, A. (2021). Repair of DNA breaks by break-induced replication. Annual review of biochemistry, 90, pp.165-191."
Kotsantis,2018,"Kotsantis, P., Petermann, E. and Boulton, S.J. (2018). Mechanisms of oncogene-induced replication stress: jigsaw falling into place. Cancer discovery, 8(5), pp.537-555."
Kotsantis,2016,"Kotsantis, P., Silva, L.M., Irmscher, S., Jones, R.M., Folkes, L., Gromak, N. and Petermann, E. (2016). Increased global transcription activity as a mechanism of replication stress in cancer. Nature communications, 7(1), p.13087."
Kovarik,2021,"Kovarik, P., Bestehorn, A. and Fesselet, J. (2021). Conceptual advances in control of inflammation by the RNA-binding protein tristetraprolin. Frontiers in immunology, 12, p.751313."
Koźmiński,2020,"Koźmiński, P., Halik, P.K., Chesori, R. and Gniazdowska, E. (2020). Overview of dual-acting drug methotrexate in different neurological diseases, autoimmune pathologies and cancers. International journal of molecular sciences, 21(10), p.3483."
Krokan,1981,"Krokan, H., Wist, E. and Krokan, R.H. (1981). Aphidicolin inhibits DNA synthesis by DNA polymerase α and isolated nuclei by a similar mechanism. Nucleic acids research, 9(18), pp.4709-4719."
Kuo,2017,"Kuo, W.Y., Hwu, L., Wu, C.Y., Lee, J.S., Chang, C.W. and Liu, R.S. (2017). STAT3/NF-κB-regulated lentiviral TK/GCV suicide gene therapy for cisplatin-resistant triple-negative breast cancer. Theranostics, 7(3), p.647."
Kweon,2020,"Kweon, J., Jang, A.H., Shin, H.R., See, J.E., Lee, W., Lee, J.W., Chang, S., Kim, K. and Kim, Y., (2020). A CRISPR-based base-editing screen for the functional assessment of BRCA1 variants. Oncogene, 39(1), pp.30-35."
Kypriotou,2012,"Kypriotou, M., Huber, M. and Hohl, D. (2012). The human epidermal differentiation complex: cornified envelope precursors, S100 proteins and the ‘fused genes’ family. Experimental dermatology, 21(9), pp.643-649."
Lai,2014,"Lai, W.S., Perera, L., Hicks, S.N. and Blackshear, P.J. (2014). Mutational and structural analysis of the tandem zinc finger domain of tristetraprolin. Journal of Biological Chemistry, 289(1), pp.565-580."
Laikova,2019,"Laikova, K.V., Oberemok, V.V., Krasnodubets, A.M., Gal’chinsky, N.V., Useinov, R.Z., Novikov, I.A., Temirova, Z.Z., Gorlov, M.V., Shved, N.A., Kumeiko, V.V. and Makalish, T.P. (2019). Advances in the understanding of skin cancer: ultraviolet radiation, mutations, and antisense oligonucleotides as anticancer drugs. Molecules, 24(8), p.1516."
Lang,2005,"Lang, F., Föller, M., Lang, K.S., Lang, P.A., Ritter, M., Gulbins, E., Vereninov, A. and Huber, S.M. (2005). Ion channels in cell proliferation and apoptotic cell death. The Journal of membrane biology, 205, pp.147-157."
Le,1998,"Le Beau, M.M., Rassool, F.V., Neilly, M.E., Espinosa III, R., Glover, T.W., Smith, D.I. and McKeithan, T.W. (1998). Replication of a common fragile site, FRA3B, occurs late in S phase and is delayed further upon induction: implications for the mechanism of fragile site induction. Human molecular genetics, 7(4), pp.755-761."
Lee,2021,"Lee, H., Lee, S., Baek, G., Kim, A., Kang, B.C., Seo, H. and Kim, J.S. (2021). Mitochondrial DNA editing in mice with DddA-TALE fusion deaminases. Nature communications, 12(1), p.1190."
Lee,2016,"Lee, J.K., Choi, Y.L., Kwon, M. and Park, P.J. (2016). Mechanisms and consequences of cancer genome instability: lessons from genome sequencing studies. Annual Review of Pathology: Mechanisms of Disease, 11, pp.283-312."
Lehen'Kyi,2011,"Lehen'Kyi, V.Y., Shapovalov, G., Skryma, R. and Prevarskaya, N. (2011). Ion channnels and transporters in cancer. 5. Ion channels in control of cancer and cell apoptosis. American Journal of Physiology-Cell Physiology, 301(6), pp.C1281-C1289."
Lehen’Kyi,2011,"Lehen’Kyi, V. and Shlyonsky, V. (2011). Chloride channels in mitochondria and their implications in cancer. Cell Calcium, 50(2), pp.167-177."
Lei,2020,"Lei, Z., Klasson, T.D., Brandt, M.M., van de Hoek, G., Logister, I., Cheng, C., Doevendans, P.A., Sluijter, J.P. and Giles, R.H. (2020). Control of angiogenesis via a VHL/miR-212/132 axis. Cells, 9(4), p.1017."
Leonard,2013,"Leonard, A.C. and Méchali, M. (2013). DNA replication origins. Cold Spring Harbor perspectives in biology, 5(10), p.a010116."
Letertre,2020,"Letertre, M.P., Dervilly, G. and Giraudeau, P. (2020). Combined nuclear magnetic resonance spectroscopy and mass spectrometry approaches for metabolomics. Analytical Chemistry, 93(1), pp.500-518."
Levine,2018,"Levine, M.S. and Holland, A.J. (2018). The impact of mitotic errors on cell proliferation and tumorigenesis. Genes & development, 32(9-10), pp.620-638."
Li,2025,"Li, G., Wu, N., Ghabrial, J., Stinnett, V., Klausner, M., Morsberger, L., Long, P., Baraban, E., Gross, J.M. and Zou, Y.S. (2025). Chromoanagenesis in osteosarcoma. Biomolecules, 15(6), p.833."
Li,2020,"Li, J., Cao, F. and Yin, H.L. (2020). Ferroptosis: Past, present, and future. Cell Death & Disease, 11(2), p.88."
Li,2018,"Li, L., Xing, R., Cui, J., Li, W. and Lu, Y. (2018). Investigation of frequent somatic mutations of MTND5 gene in gastric cancer cell lines and tissues. Mitochondrial DNA Part B, 3(2), pp.1002-1008."
Li,2019,"Li, N.A., Deng, Y., Zhou, L., Tian, T., Yang, S., Wu, Y., Zheng, Y., Zhai, Z., Hao, Q., Song, D. and Zhang, D. (2019). Global burden of breast cancer and attributable risk factors in 195 countries and territories, from 1990 to 2017: results from the Global Burden of Disease Study 2017. Journal of hematology & oncology, 12(1), pp.1-12."
Li,2020,"Li, S. and Wu, X. (2020). Common fragile sites: protection and repair. Cell & bioscience, 10(1), p.29."
Li,2022,"Li, X., Han, M., Zhang, H., Liu, F., Pan, Y., Zhu, J., Liao, Z., Chen, X. and Zhang, B. (2022). Structures and biological functions of zinc finger proteins and their roles in hepatocellular carcinoma. Biomarker research, 10, pp.1-13."
Lin,2021,"Lin, L., Li, Z., Yan, L., Liu, Y., Yang, H. and Li, H. (2021). Global, regional, and national cancer incidence and death for 29 cancer groups in 2019 and trends analysis of the global cancer burden, 1990–2019. Journal of hematology & oncology, 14, pp.1-24."
Lin,2023,"Lin, X., Dong, Y., Gu, Y., Kapoor, A., Peng, J., Su, Y., Wei, F., Wang, Y., Yang, C., Gill, A. and Neira, S.V. (2023). Taxifolin inhibits breast cancer growth by facilitating cd8+ t cell infiltration and inducing a novel set of genes including potential tumor suppressor genes in 1q21. 3. Cancers, 15(12), p.3203."
Lin,2020,"Lin, Y., Zhang, W., Cao, H., Li, G. and Du, W. (2020). Classifying breast cancer subtypes using deep neural networks based on multi-omics data. Genes, 11(8), p.888."
Lincoln,2015,"Lincoln, S.E., Kobayashi, Y., Anderson, M.J., Yang, S., Desmond, A.J., Mills, M.A., Nilsen, G.B., Jacobs, K.B., Monzon, F.A., Kurian, A.W. and Ford, J.M. (2015). A systematic comparison of traditional and multigene panel testing for hereditary breast and ovarian cancer genes in more than 1000 patients. The Journal of Molecular Diagnostics, 17(5), pp.533-544."
Lipsa,2019,"Lipsa, A., Kowtal, P. and Sarin, R. (2019). Novel germline STK11 variants and breast cancer phenotype identified in an Indian cohort of Peutz–Jeghers syndrome. Human molecular genetics, 28(11), pp.1885-1893."
Liu,2013,"Liu, H., Wang, L., Wang, X., Cao, Z., Yang, Q. and Zhang, K. (2013). S100A7 enhances invasion of human breast cancer MDA-MB-468 cells through activation of nuclear factor-κB signaling. World Journal of Surgical Oncology, 11, pp.1-8."
Liu,2024,"Liu, J. and Zhang, H. (2024). Zinc Finger and BTB Domain-Containing 20: A Newly Emerging Player in Pathogenesis and Development of Human Cancers. Biomolecules, 14(2), p.192."
